Pla,ActWt,Dr,Rtg,RtgChange,Age,RC,Track,Course,Dist,Class,Daysincelastmatch,COC,No1,No2,No3,NoStarts,hrsW,hrsP,hrsNo2Per,hrsNo3Per,R10day,X1516TW,X1516T2,X1516T3,X1516T4,X1516TWper,X1516TTP,X1516TPper,X1516JW,X1516J3,X1516J4,X1516JR,X1516JWper,X1516JPper,RecencyFinish.average,Weight.Rel.,Weight.Rel.Dist
a01,109,9,63,-1,6,HV,Turf,C+3,1650,3,7,GB,2,0,1,16,0.13,0.19,0,0.06,2,41,43,34,38,0.09557,118,0.27506,13,25,23,301,0.04319,0.16279,0.1,-13.5,-22275
a01,113,4,93,0,6,ST,Turf,C,1800,G3,14,AUS,8,3,0,35,0.23,0.31,0.09,0,1,28,19,22,20,0.10853,69,0.26744,16,19,16,216,0.07407,0.26389,0.25,-10,-18000
a12,122,9,59,0,6,HV,Turf,B,1000,4,11,GB,3,3,5,38,0.08,0.29,0.08,0.13,2,14,23,22,15,0.04444,59,0.1873,8,20,16,171,0.04678,0.21637,0.21,-0.167,-166.7
a04,127,2,53,0,6,HV,Turf,C,1000,4,126,NZ,2,2,6,28,0.07,0.36,0.07,0.21,0,9,9,11,14,0.04615,29,0.14872,8,23,25,210,0.0381,0.21429,-0.03,2.25,2250
a05,124,8,54,-2,7,ST,Turf,C+3,1650,4,29,GB,3,1,5,46,0.07,0.2,0.02,0.11,2,13,16,12,21,0.05058,41,0.15953,15,13,13,213,0.07042,0.21596,0.9,-0.5,-825
a01,118,9,45,-1,4,ST,Turf,B+2,1400,4,28,AUS,0,0,1,6,0,0.17,0,0.17,1,9,21,21,24,0.02941,51,0.16667,29,19,28,311,0.09325,0.23151,0.04,-4.357,-6099.94
a12,126,10,94,9,4,ST,Turf,A,1800,R,14,AUS,2,0,1,5,0.4,0.6,0,0.2,2,46,33,27,35,0.17899,106,0.41245,23,32,22,257,0.08949,0.31518,0.22,0,0
a06,124,12,51,7,4,ST,Turf,C,1200,4,35,AUS,1,1,0,8,0.125,0.25,0.125,0,0,6,12,8,10,0.058252427,26,0.252427184,10,6,8,110,0.090909091,0.245454545,0.1,-14.75,149700
a04,132,6,78,-2,6,ST,Turf,A+3,2000,3,13,GB,3,5,2,33,0.09,0.3,0.15,0.06,2,92,71,45,63,0.18075,208,0.40864,166,79,74,672,0.24702,0.51488,0.17,9.4,18800
a03,131,1,59,0,7,HV,Turf,B,1200,4,35,GB,2,4,2,42,0.05,0.19,0.1,0.05,0,4,13,12,11,0.02326,29,0.1686,11,7,12,197,0.05584,0.14721,0.31,5.583,6699.96
a05,126,5,32,-2,7,HV,Turf,B,1650,5,18,NZ,0,3,6,36,0,0.25,0.08,0.17,1,31,24,41,33,0.07416,96,0.22967,2,13,9,117,0.01709,0.22222,0.21,0.083,137.445
a02,107,6,41,0,5,HV,Turf,C,1200,4,17,NZ,1,3,1,18,0.055555556,0.277777778,0.166666667,0.055555556,2,12,13,15,11,0.076923077,40,0.256410256,5,4,5,110,0.045454545,0.154545455,0.4,-13.08333333,144100
a05,121,2,118,7,5,ST,Turf,B,1200,G2,29,AUS,8,3,4,21,0.38,0.71,0.14,0.19,1,26,21,21,25,0.12264,68,0.32075,0,1,2,19,0,0.10526,0.36,-0.625,-750
a14,108,7,15,-1,6,ST,Turf,C,1600,5,32,GB,1,1,3,36,0.03,0.14,0.03,0.08,2,15,10,6,9,0.09375,31,0.19375,1,2,3,59,0.01695,0.0678,0.77,-14.357,-22971.36
a13,118,9,65,0,4,ST,Turf,B+2,1200,3,21,AUS,0,0,0,1,0,0,0,0,1,19,24,19,14,0.08085,62,0.26383,19,14,18,303,0.06271,0.16502,-0.12,-4.357,-5228.52
a10,123,11,30,-3,4,ST,Turf,A,1400,5,18,NZ,0,0,0,11,0,0,0,0,1,46,69,43,48,0.08348,158,0.28675,98,56,41,560,0.175,0.42679,-0.09,2.214,3100.02
a11,133,11,40,-1,6,ST,AWT,AWT,1200,5,32,AUS,1,2,1,16,0.06,0.25,0.13,0.06,1,13,24,15,14,0.05556,52,0.22222,95,49,45,397,0.23929,0.51889,0.27,8.75,10500
a04,127,7,51,-2,6,HV,Turf,C,1650,4,21,IRE,4,5,3,36,0.11,0.33,0.14,0.08,1,7,13,8,6,0.05882,28,0.23529,16,19,12,156,0.10256,0.33974,0.15,2.5,4125
a01,112,7,69,10,5,ST,Turf,C,1200,3,28,FR,1,0,1,12,0.08,0.17,0,0.08,1,29,23,40,32,0.07268,92,0.23058,5,16,14,149,0.03356,0.20134,0.15,-9.667,-11600.04
a01,133,13,40,0,4,ST,AWT,AWT,1800,5,22,AUS,1,2,2,24,0.04,0.21,0.08,0.08,2,14,13,13,11,0.1037,40,0.2963,46,26,22,206,0.2233,0.53398,0.21,7.4,13371.4
a10,114,2,43,-2,6,HV,Turf,C,1650,4,24,GB,3,2,3,36,0.08,0.22,0.06,0.08,1,8,11,9,14,0.04444,28,0.15556,1,1,2,33,0.0303,0.09091,-0.06,-10.5,-17325
a05,120,5,65,-3,4,ST,Turf,C+3,1200,3,15,AUS,0,0,0,4,0,0,0,0,3,25,24,23,24,0.07599,72,0.21884,8,9,24,299,0.02676,0.08361,-0.27,-2.5,-3000
a12,119,9,66,-2,4,ST,AWT,AWT,1200,3,35,USA,0,0,0,3,0,0,0,0,1,11,17,15,12,0.06322,43,0.24713,21,14,22,214,0.09813,0.22897,-0.14,-2.25,-2700
a13,128,1,73,-2,5,ST,Turf,C+3,1000,3,46,AUS,2,1,0,13,0.15,0.23,0.08,0,0,9,16,12,13,0.04787,37,0.19681,28,19,14,185,0.15135,0.34595,-0.08,1.429,1428.6
a07,128,1,55,-2,4,HV,Turf,C,1800,4,35,IRE,0,0,0,10,0,0,0,0,0,25,30,17,23,0.06906,72,0.1989,2,4,7,55,0.03636,0.10909,0,4.917,8850.06
