,Pkey,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning
477,764,HKSC181702,EPRE,6,1.256,13.6,-17,2.14,6.92,1974,1980,3.23364486,U,HK,Juvenile,17,-1.5,Y
478,765,HKSC181702,EPRE,7,1.256,13.7,-14.5,2.43,7.04,1974,1981,2.897119342,U,HK,Juvenile,17,-1.4,Y
479,766,HKSC181702,EPRE,8,1.358,13.7,-14.5,2.02,5.99,1974,1982,2.965346535,U,HK,Juvenile,17,-1.4,Y
480,767,HKSC181702,EPRE,9,1.435,13.8,-14.5,1.77,5.22,1974,1983,2.949152542,U,HK,Juvenile,17,-1.3,Y
481,768,HKSC181702,EPRE,10,0.914,13.8,-12.6,2.13,6.03,1974,1984,2.830985915,U,HK,Adult,17,-1.3,Y
482,769,HKSC181702,EPRE,11,0.888,13.6,-14.2,2.21,6.4,1974,1985,2.895927602,U,HK,Adult,17,-1.5,Y
483,770,HKSC181702,EPRE,12,0.857,13.9,-14,2.08,6.18,1974,1986,2.971153846,U,HK,Adult,17,-1.2,Y
484,771,HKSC181702,EPRE,13,0.838,13.8,-14.2,2.13,6.09,1974,1987,2.85915493,U,HK,Adult,17,-1.3,Y
488,775,HKSC181702,EPRE,20,0.704,14.2,-14.1,2.28,6.49,1974,1994,2.846491228,U,HK,Adult,17,-0.9,Y
145,304,JMSC140422,WPRE,1,1.351,17.7,-17.4,2.4,7.7,2007,2008,3.208333333,U,WPRE,Juvenile,7,0,Y
146,305,JMSC140422,WPRE,2,1.816,17.1,-16.1,0.6,1.8,2007,2009,3,U,WPRE,Juvenile,7,-0.6,Y
147,306,JMSC140422,WPRE,3,1.643,15,-15.6,2.1,6,2007,2010,2.857142857,U,WPRE,Juvenile,7,-2.7,Y
148,307,JMSC140422,WPRE,4,1.003,14.3,-15.1,2.5,6.7,2007,2011,2.68,U,WPRE,Juvenile,7,-3.4,Y
149,308,JMSC140422,WPRE,5,1.002,14.7,-15.2,2,5.9,2007,2012,2.95,U,WPRE,Juvenile,7,-3,Y
150,309,JMSC140422,WPRE,6,0.74,14.7,-16,2.6,7.8,2007,2013,3,U,WPRE,Juvenile,7,-3,Y
151,310,JMSC140422,WPRE,7,0.603,14.2,-15.6,2.8,8,2007,2014,2.857142857,U,WPRE,Juvenile,7,-3.5,Y
152,311,JMSC140422-2,WPRE,1,1.76,18.4,-15,2.28,6.43,2007,2008,2.820175439,U,WPRE,Juvenile,6,0,Y
153,312,JMSC140422-2,WPRE,2,1.056,15.8,-15.3,2.45,6.92,2007,2009,2.824489796,U,WPRE,Juvenile,6,-2.6,Y
154,313,JMSC140422-2,WPRE,3,0.639,14.3,-15.4,2.45,6.77,2007,2010,2.763265306,U,WPRE,Juvenile,6,-4.1,Y
155,314,JMSC140422-2,WPRE,4,0.989,15.1,-14.7,2.34,6.76,2007,2011,2.888888889,U,WPRE,Juvenile,6,-3.3,Y
156,315,JMSC140422-2,WPRE,5,0.799,13.9,-15.1,2.35,6.66,2007,2012,2.834042553,U,WPRE,Juvenile,6,-4.5,Y
157,316,JMSC140422-2,WPRE,6,0.71,13.6,-15.7,2.54,7.22,2007,2013,2.842519685,U,WPRE,Juvenile,6,-4.8,Y
158,317,JMSC150121,WPRE,1,0.419,15.7,-13.5,7.9,20.8,2004,2005,2.632911392,U,WPRE,Juvenile,10,0,Y
159,318,JMSC150121,WPRE,2,0.763,13.8,-14,2.5,6.8,2004,2006,2.72,U,WPRE,Juvenile,10,-1.9,Y
160,319,JMSC150121,WPRE,3,0.528,13.1,-14.1,2.7,7.6,2004,2007,2.814814815,U,WPRE,Juvenile,10,-2.6,Y
161,320,JMSC150121,WPRE,4,0.353,12.6,-14,3.2,8.9,2004,2008,2.78125,U,WPRE,Juvenile,10,-3.1,Y
162,321,JMSC150121,WPRE,5,0.557,12.6,-13.9,2.8,7.8,2004,2009,2.785714286,U,WPRE,Juvenile,10,-3.1,Y
163,322,JMSC150121,WPRE,6,0.386,12.9,-13.7,2.9,8,2004,2010,2.75862069,U,WPRE,Juvenile,10,-2.8,Y
164,323,JMSC150121,WPRE,7,0.381,12.6,-13.7,2.8,7.6,2004,2011,2.714285714,U,WPRE,Juvenile,10,-3.1,Y
