H,HSD,HCV,D,DSD,DCV,A,ASD,ACV,Goal,Result
2.248,0.092,0.041,3.134,0.117,0.037,3.09,0.277,0.09,3-2',H
3.84,0.201,0.052,3.511,0.109,0.031,1.838,0.072,0.039,2-4',A
2.205,0.062,0.028,3.363,0.114,0.034,2.961,0.126,0.043,2-2',D
1.702,0.043,0.025,3.527,0.127,0.036,4.59,0.256,0.056,1-2',A
4.517,0.682,0.151,3.296,0.209,0.063,1.818,0.154,0.085,2-3',A
2.14,0.065,0.03,3.49,0.122,0.035,3.064,0.117,0.038,1-0',H
6.07,0.507,0.084,4.464,0.193,0.043,1.443,0.032,0.022,0-0',D
2.496,0.138,0.055,3.015,0.128,0.043,2.852,0.203,0.071,2-3',A
2.257,0.08,0.035,3.172,0.115,0.036,3.113,0.173,0.056,2-1',H
1.895,0.145,0.077,3.504,0.161,0.046,3.783,0.471,0.124,4-0',H
1.607,0.053,0.033,3.506,0.149,0.042,5.67,0.39,0.069,2-0',H
1.942,0.053,0.027,3.515,0.111,0.032,3.4,0.167,0.049,2-2',D
1.274,0.023,0.018,5.201,0.256,0.049,8.62,0.964,0.112,2-0',H
1.482,0.05,0.034,3.821,0.215,0.056,6.849,0.659,0.096,2-1',H
4.335,0.301,0.069,3.462,0.142,0.041,1.777,0.071,0.04,0-1',A
2.589,0.264,0.102,3.127,0.144,0.046,2.702,0.305,0.113,1-2',A
2.144,0.051,0.024,3.268,0.114,0.035,3.125,0.117,0.037,3-1',H
1.601,0.281,0.176,4.225,0.739,0.175,5.99,2.623,0.438,3-0',H
1.975,0.107,0.054,3.222,0.115,0.036,3.843,0.363,0.095,0-0',D
3.78,0.398,0.105,3.067,0.122,0.04,1.986,0.128,0.064,1-1',D
2.373,0.097,0.041,3.229,0.125,0.039,2.79,0.235,0.084,1-1',D
2.02,0.062,0.031,3.57,0.11,0.031,3.314,0.128,0.039,3-0',H
4.075,0.261,0.064,3.258,0.137,0.042,1.902,0.085,0.045,2-0',H
2.737,0.257,0.094,3.079,0.11,0.036,2.594,0.222,0.086,0-4',A
2.148,0.066,0.031,3.032,0.104,0.034,3.511,0.172,0.049,1-1',D
2.495,0.116,0.047,3.186,0.126,0.04,2.663,0.094,0.035,0-2',A
2.407,0.068,0.028,3.339,0.119,0.036,2.668,0.09,0.034,1-3',A
1.66,0.059,0.036,4.065,0.202,0.05,4.38,0.324,0.074,2-0',H
1.973,0.099,0.05,3.442,0.13,0.038,3.602,0.367,0.102,2-1',H
1.717,0.084,0.049,3.982,0.244,0.061,4.123,0.295,0.072,1-3',A
2.706,0.126,0.046,3.586,0.121,0.034,2.337,0.109,0.047,3-1',H
2.306,0.089,0.038,3.193,0.123,0.039,2.919,0.119,0.041,4-2',H
1.741,0.078,0.045,3.794,0.186,0.049,4.203,0.309,0.073,0-2',A
2.956,0.142,0.048,3.671,0.226,0.061,2.145,0.098,0.046,1-2',A
1.829,0.102,0.056,3.753,0.237,0.063,3.83,0.381,0.1,1-1',D
2.693,0.202,0.075,3.633,0.2,0.055,2.332,0.169,0.073,1-3',A
2.722,0.165,0.061,3.16,0.132,0.042,2.464,0.107,0.043,0-0',D
1.431,0.032,0.022,4.139,0.23,0.056,6.753,0.557,0.083,4-2',H
2.261,0.075,0.033,3.169,0.069,0.022,2.867,0.074,0.026,3-1',H
2.835,0.18,0.064,3.063,0.096,0.031,2.442,0.2,0.082,0-3',A
2.287,0.082,0.036,2.958,0.081,0.027,3.168,0.142,0.045,1-0',H
2.748,0.066,0.024,3.099,0.1,0.032,2.481,0.064,0.026,2-0',H
