League,H,D,A,FH,FD,FA,HandH,HandA,HHH,HHD,HHA,Hi,Lo,F_Hi_Odds,F_Lo_Odds,H_All,H_SD,H_CV,D_All,D_SD,D_CV,A_All,A_SD,A_CV,Num,H_per,D_per,A_per,Stat,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,F_Hilo,H_Hilo
58,2.08,3.3,2.95,2.65,2.15,3.5,1.93,1.91,3.9,3.8,1.64,1.75,1.95,2.55,1.45,1.9,0.15,0.08,3.5,0.16,0.05,3.78,0.47,0.12,64, 0.48 , 0.33 , 0.19 ,7.3,3,0,4,0,3,4,H,H,B,B
58,1.53,3.35,5.8,2.1,2,6.55,1.89,1.95,2.78,3.05,2.28,2.3,1.54,3.25,1.29,1.61,0.05,0.03,3.51,0.15,0.04,5.67,0.39,0.07,0, -   , -   , -   ,9.2,1,0,2,0,1,2,H,H,S,S
36,1.93,3.35,3.25,2.52,2.2,3.6,NaN,NaN,3.65,3.65,1.73,1.7,2.02,2.48,1.47,1.94,0.05,0.03,3.51,0.11,0.03,3.4,0.17,0.05,0, -   , -   , -   ,6.9,1,1,2,2,2,4,D,D,B,B
36,1.2,5.4,9.5,1.59,2.75,7.5,NaN,NaN,1.68,3.85,3.65,1.93,1.77,2.05,1.68,1.27,0.02,0.02,5.2,0.26,0.05,8.62,0.96,0.11,2, 0.50 , 0.50 , -   ,13.8,0,0,2,0,0,2,D,H,S,S
122,1.41,3.7,6.9,1.92,2.15,7,1.88,1.96,2.37,3.2,2.55,1.8,1.9,2.98,1.34,1.48,0.05,0.03,3.82,0.21,0.06,6.85,0.66,0.1,31, 0.61 , 0.29 , 0.10 ,10.7,2,1,2,1,3,3,H,H,B,B
58,4.7,3.55,1.59,5.05,2.15,2.15,1.95,1.89,2.13,3.3,2.8,1.87,1.83,2.7,1.4,4.34,0.3,0.07,3.46,0.14,0.04,1.78,0.07,0.04,13, 0.31 , -   , 0.69 ,7.8,0,0,0,1,0,1,D,A,S,S
122,2.38,2.9,2.78,3.1,1.88,3.65,1.77,2.09,5.15,3.75,1.5,2.05,1.68,3.4,1.27,2.59,0.26,0.1,3.13,0.14,0.05,2.7,0.3,0.11,50, 0.34 , 0.40 , 0.26 ,5.8,1,1,1,2,2,3,D,A,B,B
125,2.05,3.2,3.1,2.65,2.03,3.85,NaN,NaN,4.1,3.6,1.65,1.95,1.75,2.95,1.34,2.14,0.05,0.02,3.27,0.11,0.04,3.13,0.12,0.04,17, 0.59 , 0.12 , 0.29 ,6.4,2,1,3,1,3,4,H,H,B,B
144,1.23,5.15,8.5,1.64,2.65,7,NaN,NaN,1.72,3.8,3.5,1.62,2.15,2.2,1.59,1.6,0.28,0.18,4.22,0.74,0.18,5.99,2.62,0.44,0, -   , -   , -   ,10.2,1,0,3,0,1,3,H,H,B,S
56,1.73,3.15,4.4,2.45,1.9,5.2,NaN,NaN,3.35,3.2,1.93,2.4,1.5,3.55,1.25,1.97,0.11,0.05,3.22,0.11,0.04,3.84,0.36,0.09,153, 0.52 , 0.27 , 0.21 ,7.1,0,0,0,0,0,0,D,D,S,S
117,4.5,2.9,1.8,5.1,1.88,2.5,NaN,NaN,1.85,3.2,3.65,2.6,1.43,3.6,1.24,3.78,0.4,0.11,3.07,0.12,0.04,1.99,0.13,0.06,5, -   , 0.20 , 0.80 ,6.8,0,1,1,1,1,2,A,D,S,S
