Pkey,Label,PlasticType,PlasticID,PlasticShape,Area,Perim.,Length,FeretX,FeretY,FeretAngle,MinFeret,Location
191,LFS_Y3_S12,PP,PP_1,Fragment,20970.56,628.837,279.708,1817.6,1505.2,66.038,126.709,LFS
192,LFS_Y3_S12,PP,PP_2,Fragment,3226.24,160.655,80.327,3748.8,2130,135,56.8,LFS
193,LFS_Y3_S12,PP,PP_3,Fragment,6452.48,257.618,120.491,6162.8,3237.6,45,85.2,LFS
194,LFS_Y3_S12,PP,PP_4,Fragment,9678.72,411.382,190.513,8775.6,3919.2,63.435,85.2,LFS
195,LFS_Y3_S12,PP,PP_5,Fragment,78236.32,1200.873,457.936,9372,4572.4,97.125,281.023,LFS
196,LFS_Y3_S12,PP,PP_6,Fragment,20970.56,605.309,261.835,2783.2,4856.4,77.471,113.6,LFS
197,LFS_Y3_S12,PP,PP_7,Fragment,10485.28,378.109,152.939,766.8,4799.6,68.199,113.6,LFS
198,LFS_Y3_S12,PP,PP_8,Fragment,6452.48,257.618,120.491,4430.4,5055.2,45,85.2,LFS
199,LFS_Y3_S12,PP,PP_9,Fragment,56459.2,903.091,307.193,8122.4,6248,123.69,255.6,LFS
200,LFS_Y3_S12,PP,PP_10,Fragment,15324.64,451.546,181.849,8463.2,6588.8,38.66,142,LFS
201,LFS_Y3_S12,PP,PP_11,Fragment,8872.16,337.946,160.655,1164.4,7270.4,45,100.409,LFS
202,LFS_Y3_S12,PP,PP_12,Fragment,9678.72,378.109,152.939,4629.2,9457.2,68.199,113.6,LFS
203,LFS_Y3_S12,PP,PP_13,Fragment,86301.92,1250.782,458.816,3663.6,9457.2,158.199,298.968,LFS
204,SK_S01,PE,PE_1,Fragment,20970.56,572.037,234.192,2101.6,1817.6,104.036,142,SK
205,SK_S01,PET,PET_1,Fibre,57265.76,3917.038,1972.342,4231.6,1874.4,122.196,620.413,SK
206,SK_S01,PET,PET_2,Fibre,30649.28,1819.965,849.258,8292.8,2442.4,35.311,162.007,SK
207,SK_S01,PET,PET_3,Fibre,21777.12,1094.164,512.968,2698,4146.4,36.254,88.081,SK
208,SK_S01,PET,PET_4,Fibre,119370.88,3357.601,2376.169,6020.8,7497.6,37.747,460.283,SK
209,SK_S01,PP,PP_1,Fragment,10485.28,354.582,165.599,8605.2,3976,59.036,85.2,SK
210,SK_S01,PP,PP_2,Fragment,8065.6,297.782,142,3322.8,5254,53.13,85.2,SK
211,SK_S01,PP,PP_3,Fragment,27423.04,652.364,284,6049.2,6617.2,53.13,160.655,SK
212,SK_S01,PP,PP_4,Fragment,6452.48,297.782,142,4828,7071.6,53.13,80.327,SK
213,SK_S01,PP,PP_5,Fragment,17744.32,548.509,234.192,5822,7213.6,75.964,113.6,SK
214,SK_S01,PP,PP_6,Fragment,6452.48,257.618,120.491,6617.2,8122.4,45,85.2,SK
215,SK_S01,PP,PP_7,Fragment,8065.6,297.782,127.009,2300.4,8491.6,116.565,85.2,SK
216,SK_S01,PP,PP_8,Fragment,6452.48,274.255,127.009,6049.2,10082,116.565,56.8,SK
217,SK_S02,PE,PE_1,Fragment,5645.92,274.255,127.009,6986.4,7384,63.435,56.8,SK
218,SK_S02,PET,PET_1,Fragment,4032.8,217.455,102.398,7384,2982,33.69,56.8,SK
219,SK_S02,PET,PET_2,Fragment,8872.16,314.418,142,6333.2,3322.8,53.13,85.2,SK
220,SK_S02,PET,PET_3,Fragment,2419.68,160.655,80.327,9514,3635.2,45,56.8,SK
221,SK_S02,PET,PET_4,Fragment,11291.84,354.582,142,8065.6,3862.4,126.87,113.6,SK
222,SK_S02,PET,PET_5,Fragment,8872.16,434.909,200.818,9514,5112,45,89.065,SK
223,SK_S02,PET,PET_6,Fibre,20164,909.982,426,10366,6049.2,36.87,101.7,SK
224,SK_S02,PET,PET_7,Fragment,3226.24,217.455,102.398,3436.4,6049.2,56.31,56.8,SK
225,SK_S02,PET,PET_8,Fragment,28229.6,605.309,228.968,7724.8,9514,60.255,170.4,SK
226,SK_S02,PP,PP_1,Fragment,4839.36,274.255,117.096,6759.2,2896.8,104.036,56.8,SK
227,SK_S02,PP,PP_2,Fragment,5645.92,257.618,120.491,3124,4004.4,135,85.2,SK
228,SK_S02,PP,PP_3,Fragment,5645.92,240.982,102.398,6901.2,4515.6,123.69,85.2,SK
229,SK_S02,PP,PP_4,Fragment,22583.68,709.164,301.896,7838.4,5566.4,131.186,170.708,SK
230,SK_S02,PP,PP_5,Fragment,34682.08,789.491,323.81,710,5850.4,105.255,168.952,SK
231,SK_S02,PP,PP_6,Fragment,6452.48,257.618,120.491,10025.2,6276.4,45,85.2,SK
232,SK_S02,PP,PP_7,Fragment,4032.8,240.982,102.398,6532,7270.4,33.69,76.248,SK
233,SK_S02,PP,PP_8,Fragment,3226.24,200.818,102.398,2385.6,7270.4,33.69,56.8,SK
234,SK_S02,PP,PP_9,Fragment,4032.8,274.255,117.096,6418.4,7440.8,104.036,56.8,SK
235,SK_S02,PP,PP_10,Fragment,34682.08,772.855,331.198,1647.2,7923.6,120.964,173.444,SK
236,SK_S02,PP,PP_11,Fragment,17744.32,548.509,234.192,5878.8,8491.6,75.964,113.6,SK
237,SK_S02,PP,PP_12,Fragment,8872.16,337.946,142,4544,9059.6,36.87,113.6,SK
238,SK_S03,PET,PET_1,Fibre,23390.24,1167.601,523.67,4402,3408,49.399,138.868,SK
239,SK_S03,PET,PET_2,Fibre,54846.08,2347.801,819.673,1164.4,4856.4,165.964,325.986,SK
240,SK_S03,PET,PET_3,Fibre,39521.44,2250.837,772.564,3862.4,7582.8,143.973,328.844,SK
241,SK_S03,PP,PP_1,Fragment,6452.48,314.418,142,7810,4856.4,126.87,85.2,SK
242,SK_S08,PET,PET_1,Fragment,6452.48,434.909,179.617,937.2,4004.4,71.565,56.8,SK
243,SK_S08,PET,PET_2,Fragment,15324.64,775.709,351.289,2783.2,4174.8,104.036,83.635,SK
244,SK_S08,PET,PET_3,Fragment,2419.68,160.655,80.327,2357.2,5452.8,135,56.8,SK
245,SK_S08,PET,PET_4,Fragment,4032.8,274.255,127.009,2414,5538,153.435,56.8,SK
