Pkey,CSV,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear
278,20180906.csv,JMSC170512,NA,9,0.448,10.7,-15.1,2.9,8.4,2007,2016
279,20180906.csv,JMSC170512,NA,10,0.533,10.8,-15.6,2.8,8,2007,2017
280,20180906.csv,HKSC162306A,HK,1,1.294,15.3,-13.1,3,8.9,2015,2016
281,20180906.csv,JMSC170219,WPRE,1,2.362,17,-14.7,2.1,5.9,2005,2006
282,20180906.csv,JMSC170219,WPRE,2,1.911,16.1,-15,2.1,5.9,2005,2007
283,20180906.csv,JMSC170219,WPRE,3,1.822,15.6,-14.9,2.2,6.3,2005,2008
284,20180906.csv,JMSC170219,WPRE,4,1.537,14.8,-14.9,2.3,6.5,2005,2009
285,20180906.csv,JMSC170219,WPRE,5,1.355,14.1,-15,2.3,6.5,2005,2010
286,20180906.csv,JMSC170219,WPRE,6,0.675,13.9,-14.5,3,8.5,2005,2011
287,20180906.csv,JMSC170219,WPRE,7,0.876,13.6,-14.5,2.9,8.1,2005,2012
288,20180906.csv,JMSC170219,WPRE,9,0.668,13.1,-14.8,2.8,7.9,2005,2014
289,20180906.csv,JMSC170219,WPRE,10,0.612,13.3,-14.8,2.8,7.7,2005,2015
290,20180906.csv,JMSC170219,WPRE,11,0.735,11.9,-14.5,3.2,8.2,2005,2016
291,20180906.csv,JMSC170515,WPRE,1,0.532,13.5,-12.8,2.3,6.3,2016,2017
292,20180906.csv,JMSC170920,MPRE,1,1.291,13.8,-14.1,1.3,3.8,2000,2001
293,20180906.csv,JMSC170920,MPRE,2,1.152,13.6,-14,2.3,6.4,2000,2002
294,20180906.csv,JMSC170920,MPRE,3,0.74,14.4,-14.4,3.9,11.3,2000,2003
295,20180906.csv,JMSC170920,MPRE,4,0.894,16,-13.7,3.8,10.5,2000,2004
296,20180906.csv,JMSC170920,MPRE,5,0.5,13.2,-13.6,2.9,8.1,2000,2005
297,20180906.csv,JMSC170920,MPRE,6,0.639,12.4,-14,2.7,7.5,2000,2006
298,20180906.csv,JMSC170920,MPRE,7,0.564,12.5,-14,2.8,7.8,2000,2007
299,20180906.csv,JMSC170920,MPRE,8,0.373,12.8,-14,2.9,8,2000,2008
300,20180906.csv,JMSC170920,MPRE,9,0.407,12.3,-14.3,2.8,7.7,2000,2009
301,20180906.csv,JMSC170920,MPRE,10,0.419,12.2,-14.3,2.7,7.7,2000,2010
302,20180906.csv,JMSC170920,MPRE,11,0.34,12.1,-13.8,2.7,7.6,2000,2011
